epoch,train_loss,train_acc,val_loss,val_acc,learning_rates
0,1.0528,0.4752,0.7737,0.5495,0.001
1,0.7791,0.5549,0.6716,0.5970,0.001
2,0.6786,0.5949,0.6108,0.6128,0.001
3,0.6121,0.6236,0.5796,0.6437,0.001
4,0.5652,0.6444,0.5327,0.6678,0.001
5,0.5330,0.6551,0.4485,0.6896,0.001
6,0.5025,0.6702,0.4457,0.6984,0.001
7,0.4816,0.6807,0.4685,0.6954,0.001
8,0.4581,0.6945,0.3947,0.7240,0.001
9,0.4423,0.6999,0.4176,0.7011,0.001
10,0.4251,0.7105,0.3797,0.7331,0.001
11,0.4116,0.7153,0.3928,0.7361,0.001
12,0.3985,0.7224,0.3821,0.7240,0.001
13,0.3930,0.7285,0.3631,0.7445,0.001
14,0.3782,0.7340,0.3658,0.7473,0.001
15,0.3732,0.7359,0.3485,0.7598,0.001
16,0.3624,0.7448,0.3649,0.7440,0.001
17,0.3555,0.7502,0.3223,0.7675,0.001
18,0.3478,0.7493,0.3443,0.7590,0.001
19,0.3437,0.7540,0.3229,0.7634,0.001
20,0.3360,0.7582,0.3302,0.7708,0.001
21,0.3302,0.7604,0.3181,0.7781,0.001
22,0.3200,0.7639,0.3069,0.7844,0.001
23,0.3182,0.7640,0.3079,0.7809,0.001
24,0.3156,0.7699,0.3004,0.7765,0.001
25,0.3049,0.7699,0.3109,0.7880,0.001
26,0.3003,0.7768,0.3370,0.7708,0.001
27,0.2953,0.7775,0.3022,0.7721,0.001
28,0.2882,0.7818,0.2851,0.7986,0.001
29,0.2853,0.7825,0.2910,0.7967,0.001
30,0.2848,0.7844,0.2915,0.7833,0.001
31,0.2760,0.7875,0.2691,0.7967,0.001
32,0.2780,0.7880,0.2971,0.7883,0.001
33,0.2731,0.7932,0.2838,0.8003,0.001
34,0.2629,0.7994,0.2652,0.7978,0.001
35,0.2572,0.7991,0.2840,0.7981,0.001
36,0.2593,0.8010,0.2893,0.7923,0.001
37,0.2553,0.8021,0.3073,0.7948,0.001
38,0.2543,0.8008,0.2696,0.8052,0.001
39,0.2469,0.8057,0.2939,0.7634,0.001
40,0.2410,0.8075,0.2651,0.8063,0.001
41,0.2373,0.8113,0.2985,0.7913,0.001
42,0.2401,0.8098,0.2556,0.8038,0.001
43,0.2319,0.8130,0.2667,0.8172,0.001
44,0.2297,0.8131,0.2733,0.8087,0.001
45,0.2273,0.8138,0.2640,0.8131,0.001
46,0.2232,0.8189,0.2741,0.8049,0.001
47,0.2230,0.8177,0.2705,0.8230,0.001
48,0.2175,0.8214,0.2556,0.8172,0.0005
49,0.1781,0.8449,0.2327,0.8361,0.0005
50,0.1658,0.8515,0.2453,0.8322,0.0005
51,0.1642,0.8537,0.2425,0.8369,0.0005
52,0.1570,0.8576,0.2357,0.8333,0.0005
53,0.1557,0.8582,0.2331,0.8429,0.0005
54,0.1553,0.8578,0.2457,0.8467,0.0005
55,0.1518,0.8601,0.2435,0.8391,0.00025
56,0.1360,0.8709,0.2326,0.8489,0.00025
57,0.1252,0.8766,0.2332,0.8508,0.00025
58,0.1253,0.8797,0.2320,0.8549,0.00025
59,0.1237,0.8763,0.2280,0.8525,0.00025
60,0.1207,0.8820,0.2333,0.8478,0.00025
61,0.1197,0.8822,0.2399,0.8495,0.00025
62,0.1181,0.8818,0.2340,0.8519,0.00025
63,0.1156,0.8855,0.2421,0.8544,0.00025
64,0.1152,0.8835,0.2289,0.8546,0.00025
65,0.1145,0.8863,0.2279,0.8533,0.00025
66,0.1129,0.8853,0.2273,0.8590,0.00025
67,0.1098,0.8881,0.2346,0.8541,0.00025
68,0.1094,0.8884,0.2319,0.8557,0.00025
69,0.1088,0.8907,0.2375,0.8544,0.00025
70,0.1076,0.8914,0.2377,0.8557,0.00025
71,0.1047,0.8924,0.2432,0.8563,0.00025
72,0.1033,0.8924,0.2289,0.8560,0.000125
73,0.0972,0.8974,0.2290,0.8593,0.000125
74,0.0953,0.8999,0.2367,0.8642,0.000125
75,0.0939,0.9026,0.2285,0.8615,0.000125
76,0.0885,0.9038,0.2425,0.8617,0.000125
77,0.0920,0.9042,0.2311,0.8620,0.000125
78,0.0887,0.9054,0.2380,0.8607,6.25e-05
79,0.0853,0.9075,0.2384,0.8601,6.25e-05
80,0.0881,0.9083,0.2362,0.8639,6.25e-05
81,0.0828,0.9097,0.2335,0.8672,6.25e-05
82,0.0850,0.9081,0.2363,0.8648,6.25e-05
83,0.0835,0.9072,0.2432,0.8590,6.25e-05
84,0.0839,0.9103,0.2354,0.8617,3.125e-05
85,0.0815,0.9109,0.2387,0.8604,3.125e-05
86,0.0779,0.9140,0.2342,0.8661,3.125e-05
87,0.0814,0.9124,0.2422,0.8645,3.125e-05
88,0.0794,0.9135,0.2421,0.8617,3.125e-05
89,0.0794,0.9136,0.2423,0.8639,3.125e-05
90,0.0772,0.9151,0.2398,0.8642,1.5625e-05
91,0.0781,0.9137,0.2387,0.8645,1.5625e-05
92,0.0788,0.9140,0.2378,0.8617,1.5625e-05
93,0.0756,0.9131,0.2383,0.8648,1.5625e-05
94,0.0752,0.9142,0.2438,0.8631,1.5625e-05
95,0.0755,0.9154,0.2395,0.8639,1.5625e-05
96,0.0755,0.9160,0.2386,0.8637,7.8125e-06
97,0.0769,0.9160,0.2385,0.8637,7.8125e-06
98,0.0761,0.9157,0.2401,0.8626,7.8125e-06
99,0.0768,0.9155,0.2423,0.8634,7.8125e-06
