epoch,train_loss,train_acc,val_loss,val_acc,learning_rates
0,1.3842,0.5234,1.1523,0.5892,[0.0001]
1,1.0956,0.6127,0.9834,0.6421,[0.0001]
2,0.9723,0.6489,0.8956,0.6734,[0.0001]
3,0.9012,0.6721,0.8423,0.6912,[0.0001]
4,0.8534,0.6912,0.7989,0.7089,[0.0001]
5,0.8123,0.7067,0.7654,0.7198,[0.0001]
6,0.7812,0.7189,0.7423,0.7312,[0.0001]
7,0.7534,0.7298,0.7189,0.7423,[0.0001]
8,0.7289,0.7387,0.6987,0.7512,[0.0001]
9,0.7067,0.7456,0.6823,0.7589,[0.0001]
10,0.6856,0.7534,0.6678,0.7656,[0.0001]
11,0.6678,0.7598,0.6534,0.7712,[0.0001]
12,0.6512,0.7667,0.6412,0.7767,[0.0001]
13,0.6356,0.7723,0.6298,0.7823,[0.0001]
14,0.6212,0.7789,0.6189,0.7867,[0.0001]
15,0.6078,0.7845,0.6089,0.7912,[0.0001]
16,0.5956,0.7898,0.5989,0.7945,[0.0001]
17,0.5834,0.7945,0.5898,0.7978,[0.0001]
18,0.5723,0.7989,0.5812,0.8012,[0.0001]
19,0.5623,0.8034,0.5734,0.8034,[0.0001]
20,0.5534,0.8067,0.5667,0.8056,[0.0001]
21,0.5445,0.8098,0.5612,0.8023,[0.0001]
22,0.5367,0.8123,0.5567,0.8045,[0.0001]
23,0.5289,0.8145,0.5534,0.8012,[0.0001]
24,0.5212,0.8167,0.5512,0.7989,[0.0001]
25,0.5154,0.8134,0.5577,0.8008,[1e-05]
26,0.4824,0.8260,0.5285,0.8077,[1e-05]
27,0.4746,0.8298,0.5400,0.8052,[1e-05]
28,0.4697,0.8302,0.5356,0.8123,[1e-05]
29,0.4670,0.8304,0.5295,0.8126,[1e-05]
30,0.4567,0.8337,0.5600,0.8044,[1e-05]
31,0.4460,0.8383,0.5462,0.8150,[1e-05]
32,0.4519,0.8365,0.5225,0.8199,[1e-05]
33,0.4456,0.8377,0.5233,0.8150,[1e-05]
34,0.4396,0.8398,0.5244,0.8153,[1e-05]
