epoch,train_loss,train_acc,val_loss,val_acc,learning_rates
0,0.6046216810687113,0.7781870268058113,0.7056553776798352,0.7530054644808744,[6.545084971874738e-05]
1,0.5979163287590279,0.7819725803151217,0.6844035818277161,0.7546448087431694,[5.782172325201155e-05]
2,0.582408898402493,0.7897142077620899,0.64535882629332,0.7666666666666667,[5e-05]
3,0.5621204043538889,0.7967055453243298,0.6402369792669849,0.7740437158469945,[4.217827674798847e-05]
4,0.5581416132326349,0.7965350248959825,0.6189989678683828,0.7770491803278688,[3.4549150281252636e-05]
5,0.5342576758174143,0.8065275219971353,0.6267546968381913,0.773224043715847,[2.7300475013022663e-05]
6,0.519691423743396,0.8129731941886638,0.617839782485545,0.7729508196721312,[2.061073738537635e-05]
7,0.5106377718995208,0.8125298410749607,0.6228358558618305,0.7745901639344263,[1.4644660940672627e-05]
8,0.5099727550455301,0.8124275288179524,0.6012939962370148,0.7743169398907104,[9.549150281252633e-06]
9,0.49913062004720715,0.8166564354409658,0.597717605099652,0.783879781420765,[5.449673790581611e-06]
10,0.4913114335899439,0.8212263829206738,0.6354483254620287,0.7781420765027323,[2.4471741852423237e-06]
11,0.4906782401704941,0.8196234908942092,0.6011335159911484,0.7792349726775957,[6.15582970243117e-07]
12,0.4883306556887633,0.8192824500375145,0.6056003218465815,0.7811475409836065,[0.0001]
13,0.5654317069635832,0.7929540959006889,0.6577951936122498,0.7609289617486339,[9.98458666866564e-05]
14,0.5594865316445697,0.7930564081576973,0.6271543403792251,0.7710382513661203,[9.938441702975689e-05]
15,0.5498885156334069,0.7999795375485983,0.6621509328565962,0.7683060109289618,[9.861849601988383e-05]
16,0.5474431561696791,0.7997067048632426,0.6285111870270609,0.7721311475409836,[9.755282581475769e-05]
17,0.5353603209644896,0.802673760316486,0.6478681906324918,0.7650273224043715,[9.619397662556435e-05]
18,0.5272196085389124,0.8078234772525749,0.6292420492797601,0.7759562841530054,[9.45503262094184e-05]
19,0.5131730745933316,0.8133483391310279,0.6294959945756881,0.7718579234972678,[9.263200821770461e-05]
20,0.5046004417196935,0.8137916922447309,0.6188271654108183,0.7778688524590164,[9.045084971874738e-05]
21,0.49928707179744464,0.8152240638428484,0.6172724101549941,0.7830601092896174,[8.802029828000156e-05]
