epoch,train_loss,train_acc,val_loss,val_acc,learning_rates
0,1.4638,0.5087,1.1957,0.5730,[0.0001]
1,1.1235,0.6003,1.0097,0.6317,[0.0001]
2,1.0322,0.6309,0.9321,0.6607,[0.0001]
3,0.9800,0.6494,0.9106,0.6724,[0.0001]
4,0.9307,0.6658,0.8607,0.6899,[0.0001]
5,0.8990,0.6724,0.8754,0.6825,[0.0001]
6,0.8714,0.6868,0.8172,0.7027,[0.0001]
7,0.8456,0.6937,0.7599,0.7240,[0.0001]
8,0.8254,0.7035,0.7724,0.7180,[0.0001]
9,0.8046,0.7079,0.7597,0.7254,[0.0001]
10,0.7885,0.7145,0.7080,0.7459,[0.0001]
11,0.7692,0.7251,0.7030,0.7434,[0.0001]
12,0.7547,0.7228,0.6784,0.7557,[0.0001]
13,0.7420,0.7305,0.6820,0.7522,[0.0001]
14,0.7300,0.7340,0.6603,0.7656,[0.0001]
15,0.7262,0.7351,0.6552,0.7656,[0.0001]
16,0.7116,0.7430,0.6643,0.7587,[0.0001]
17,0.7017,0.7464,0.6891,0.7470,[0.0001]
18,0.6928,0.7483,0.6413,0.7686,[0.0001]
19,0.6892,0.7508,0.6192,0.7765,[0.0001]
20,0.6744,0.7581,0.6220,0.7787,[0.0001]
21,0.6722,0.7563,0.6124,0.7825,[0.0001]
22,0.6619,0.7567,0.6012,0.7828,[0.0001]
23,0.6500,0.7652,0.6099,0.7732,[0.0001]
24,0.6413,0.7665,0.6094,0.7885,[0.0001]
25,0.5916,0.7861,0.5628,0.7932,[1e-05]
26,0.5729,0.7929,0.5562,0.7959,[1e-05]
27,0.5601,0.7985,0.5602,0.7945,[1e-05]
28,0.5610,0.7975,0.5518,0.8003,[1e-05]
29,0.5543,0.7997,0.5498,0.8003,[1e-05]
